,S0,K,V0,T,r,n,m,closed_solution,mc_price,ST
48,3,1.5,0.01,1,0,250,62500,1.5096576762160399,1.7766820458475807,"[ 3.95703552e-05  2.05877925e+01 -6.20647356e-05 ...  1.14001976e-06
  8.37908182e-07  1.52230447e-04]"
49,3,1.5,0.01,1,0.05,250,62500,1.5825795431351632,1.6900322399923453,"[ 3.95703552e-05  2.05877925e+01 -6.20647356e-05 ...  1.14001976e-06
  8.37908182e-07  1.52230447e-04]"
50,3,1.5,0.01,1,0,400,160000,1.5096576762160399,0.0961013234745573,"[-2.44567850e-11  5.91095330e-10  1.00641317e-16 ...  3.07595848e-13
  9.17552389e-14  2.00617614e-14]"
51,3,1.5,0.01,1,0.05,400,160000,1.5825795431351632,0.0914144066224601,"[-2.44567850e-11  5.91095330e-10  1.00641317e-16 ...  3.07595848e-13
  9.17552389e-14  2.00617614e-14]"
52,3,1.5,0.01,2,0,250,62500,1.3841856229315053,0.7587156737118763,"[ 5.07704452e-13  7.28498429e-16  4.19646785e-12 ... -6.25827902e-07
 -1.90377854e-10  1.63568204e-13]"
53,3,1.5,0.01,2,0.05,250,62500,1.4904370188643652,0.6865143312248677,"[ 5.07704452e-13  7.28498429e-16  4.19646785e-12 ... -6.25827902e-07
 -1.90377854e-10  1.63568204e-13]"
54,3,1.5,0.01,2,0,400,160000,1.3841856229315053,0.0017201618955630603,"[-3.97583314e-22 -1.95817198e-16  2.32492189e-18 ... -1.92719708e-20
  2.11500510e-16 -1.38426015e-19]"
55,3,1.5,0.01,2,0.05,400,160000,1.4904370188643652,0.0015564668481851214,"[-3.97583314e-22 -1.95817198e-16  2.32492189e-18 ... -1.92719708e-20
  2.11500510e-16 -1.38426015e-19]"
56,3,1.5,0.01,5,0,250,62500,1.6944422460035993,0.5985916611873048,"[-4.91314337e-08 -4.32918328e-07  3.65335812e-10 ...  9.34342436e-12
 -1.88900783e-08  1.71792149e-12]"
57,3,1.5,0.01,5,0.05,250,62500,2.1177355992049307,0.46618365447268606,"[-4.91314337e-08 -4.32918328e-07  3.65335812e-10 ...  9.34342436e-12
 -1.88900783e-08  1.71792149e-12]"
58,3,1.5,0.01,5,0,400,160000,1.6944422460035993,0.012279750578277005,"[ 9.22181699e-25 -6.35823626e-15  5.18160923e-22 ...  1.19609446e-23
 -3.04791539e-13 -1.34694768e-17]"
59,3,1.5,0.01,5,0.05,400,160000,2.1177355992049307,0.009563479366283668,"[ 9.22181699e-25 -6.35823626e-15  5.18160923e-22 ...  1.19609446e-23
 -3.04791539e-13 -1.34694768e-17]"
60,3,1.5,0.07,1,0,250,62500,1.5039088991263587,4.469605697173347,"[-4.21950062e-15 -6.77880561e-05 -6.75534644e-08 ...  9.64044653e-04
  2.83766313e-09  5.20019289e-05]"
61,3,1.5,0.07,1,0.05,250,62500,1.577974984496542,4.251620455067315,"[-4.21950062e-15 -6.77880561e-05 -6.75534644e-08 ...  9.64044653e-04
  2.83766313e-09  5.20019289e-05]"
62,3,1.5,0.07,1,0,400,160000,1.5039088991263587,0.021524163634789123,"[ 1.57546920e-12 -7.86885242e-14 -1.09881590e-18 ... -5.97343081e-08
  3.31621604e-11  1.13825871e-13]"
63,3,1.5,0.07,1,0.05,400,160000,1.577974984496542,0.020474417787179653,"[ 1.57546920e-12 -7.86885242e-14 -1.09881590e-18 ... -5.97343081e-08
  3.31621604e-11  1.13825871e-13]"
64,3,1.5,0.07,2,0,250,62500,1.3968287282510061,0.7260272000128719,"[ 1.89082264e-07  1.06170134e-07 -5.73240200e-08 ...  1.69930197e-04
 -5.96741820e-05 -1.30119211e-08]"
65,3,1.5,0.07,2,0.05,250,62500,1.510897587255049,0.6569365770835242,"[ 1.89082264e-07  1.06170134e-07 -5.73240200e-08 ...  1.69930197e-04
 -5.96741820e-05 -1.30119211e-08]"
66,3,1.5,0.07,2,0,400,160000,1.3968287282510061,0.00010091075792565314,"[ 6.95415204e-26  1.29226992e-25 -8.59015522e-12 ... -1.62424376e-10
 -5.25057574e-18  2.20488883e-21]"
67,3,1.5,0.07,2,0.05,400,160000,1.510897587255049,9.130782965349972e-05,"[ 6.95415204e-26  1.29226992e-25 -8.59015522e-12 ... -1.62424376e-10
 -5.25057574e-18  2.20488883e-21]"
68,3,1.5,0.07,5,0,250,62500,1.6968809389172517,3.949655324814098,"[ 1.35165309e-13  3.00787387e-10  8.45847713e-05 ...  2.12738876e-11
 -1.04539390e-16 -1.27672931e-14]"
69,3,1.5,0.07,5,0.05,250,62500,2.1177102444056892,3.0759946598273635,"[ 1.35165309e-13  3.00787387e-10  8.45847713e-05 ...  2.12738876e-11
 -1.04539390e-16 -1.27672931e-14]"
70,3,1.5,0.07,5,0,400,160000,1.6968809389172517,0.00012321983890023746,"[ 2.20378740e-09 -4.40629260e-12 -1.27115572e-30 ...  5.76135947e-17
 -1.00045190e-24  7.95611573e-16]"
71,3,1.5,0.07,5,0.05,400,160000,2.1177102444056892,9.596370702543729e-05,"[ 2.20378740e-09 -4.40629260e-12 -1.27115572e-30 ...  5.76135947e-17
 -1.00045190e-24  7.95611573e-16]"
72,3,2.5,0.01,1,0,250,62500,0.44770214059390234,2.6025306846676495,"[-2.10112855e-10 -6.92873984e-05  5.42969779e-06 ...  2.80259724e-02
  1.73303830e-07  2.68607820e-04]"
