,S0,K,V0,T,r,n,m,closed_solution,mc_price,ST_std
37,2.0,2.5,0.07,1.0,0.0,400.0,160000.0,-0.012608454260962049,0.007498852147874018,0.320961655299153
38,2.0,2.5,0.07,1.0,0.05,250.0,62500.0,-0.017418782854348003,0.01677327903063508,0.3374500118199578
39,2.0,2.5,0.07,1.0,0.05,400.0,160000.0,-0.017418782854348003,0.01667865132188025,0.3376249653552352
40,2.0,2.5,0.07,2.0,0.0,250.0,62500.0,-0.13050435117853343,0.026838462486482893,0.4248225943483787
41,2.0,2.5,0.07,2.0,0.0,400.0,160000.0,-0.13050435117853343,0.025838066668642693,0.422510277604203
42,2.0,2.5,0.07,2.0,0.05,250.0,62500.0,-0.022401703136440076,0.06941202651105485,0.4686613448852433
43,2.0,2.5,0.07,2.0,0.05,400.0,160000.0,-0.022401703136440076,0.06935194986482389,0.46741465996734705
44,2.0,2.5,0.07,5.0,0.0,250.0,62500.0,-0.17189659152680736,0.09785763595683933,0.6616874243965887
45,2.0,2.5,0.07,5.0,0.0,400.0,160000.0,-0.17189659152680736,0.09470535516833223,0.6519087692864814
46,2.0,2.5,0.07,5.0,0.05,250.0,62500.0,0.12470300177605487,0.28495688346393083,0.8431106962695666
47,2.0,2.5,0.07,5.0,0.05,400.0,160000.0,0.12470300177605487,0.2832598639501831,0.8381532661789084
48,3.0,1.5,0.01,1.0,0.0,250.0,62500.0,1.50965767621604,1.4992535513744059,0.39294753415236705
49,3.0,1.5,0.01,1.0,0.0,400.0,160000.0,1.50965767621604,1.4991513448062963,0.3899734897998448
50,3.0,1.5,0.01,1.0,0.05,250.0,62500.0,1.582579543135163,1.573824425646875,0.412584979711517
51,3.0,1.5,0.01,1.0,0.05,400.0,160000.0,1.582579543135163,1.5731079728306367,0.41041691224909044
52,3.0,1.5,0.01,2.0,0.0,250.0,62500.0,1.3841856229315053,1.501350538073523,0.5733854138857372
53,3.0,1.5,0.01,2.0,0.0,400.0,160000.0,1.3841856229315053,1.5002651079987708,0.5665589919589076
54,3.0,1.5,0.01,2.0,0.05,250.0,62500.0,1.4904370188643652,1.644236350488835,0.6335315829485416
55,3.0,1.5,0.01,2.0,0.05,400.0,160000.0,1.4904370188643652,1.6439933507485078,0.6289237548101418
